formulation,Anion,molality,Solvent DN,Diluent DN,Anion DN,Solvent CID,Diluent CID,Anion CID,Solvent AN,Diluent AN,Solvent molar mass,Diluent molar mass,Anion molar mass,solvent molar ratio,diluent molar ratio,anion molar ratio,solvent volume,diluent volume,anion volume,Fractional CN solvent,Fractional CN diluent,Fractional CN anion,CN solvent,CN diluent,CN anion,CN total,Fraction Free Solvents,Fraction Free Diluents,Fraction Free Anions,Density [kg/m3],Volume [nm3],anion to solvent ratio
MPL/DCM,PF6,0.5,27.3,1.0,-6.2,13387.0,6344.0,9886.0,13.3,20.4,99.13,84.93,144.964,0.3059048819360108,0.6118097638720216,0.0411426770959837,139.65543911138744,88.23001018449519,98.22421574221886,0.7448437455,0.0,0.2551562545,2.950951,0.0,1.010888,3.961839,0.610084661,1.0,0.198665067,1257.45654,127.111771,0.134495
DME/DCM,TFSI,2.0,20.0,1.0,11.2,8071.0,6344.0,4176748.0,10.2,20.4,90.12,84.93,280.15,0.2475296540525555,0.495059308105111,0.1287055189211667,135.53372116858102,88.23001018449519,209.7630622823716,0.37837,0.00114,0.62049,1.34277,0.00404,2.20203,3.54884,0.30256,0.99895,0.02743,1395.80652,162.07542,0.5199600000000001
MPL/DCD,TFSI,2.0,27.3,3.2,11.2,13387.0,19869.0,4176748.0,13.3,16.7,99.13,156.95,280.15,0.2149557621041589,0.4299115242083179,0.1775663568437615,139.65543911138744,143.47530021417475,209.7630622823716,0.31493,0.07311,0.61195,1.14883,0.2667,2.2323,3.64783,0.14486,0.88993,0.00403,1668.57031,215.44127,0.8260599999999999
DEA/DCM,BF4,2.0,32.2,1.0,7.3,12703.0,6344.0,26255.0,13.6,20.4,115.17,84.93,86.81,0.2415388925924852,0.4830777851849704,0.1376916611112721,177.36010258286555,88.23001018449519,72.88470609916,0.4080441145,5.12e-06,0.5919507642,1.53775221,1.93e-05,2.23082153,3.76859304,0.23087885,0.99999452,0.00717821,1246.56897,150.288269,0.5700600000000001
DMSO/DCM,PF6,2.0,29.8,1.0,-6.2,679.0,6344.0,9886.0,19.3,20.4,78.14,84.93,144.964,0.250501002004008,0.501002004008016,0.1242484969939879,104.6290690568062,88.23001018449519,98.22421574221886,0.4996179469,0.0001031521392,0.5002789009,2.00923136,0.00041483,2.01188941,4.0215356,0.006560333,0.99989723,0.04591528,1417.79053,126.072433,0.496
MPL/DCM,PF6,1.0,27.3,1.0,-6.2,13387.0,6344.0,9886.0,13.3,20.4,99.13,84.93,144.964,0.282647160243981,0.565294320487962,0.0760292596340284,139.65543911138744,88.23001018449519,98.22421574221886,0.6024218526,2.26e-06,0.3975758908,2.39998281,8.99e-06,1.58389889,3.98389069,0.397882508,0.9999988,0.078294962,1299.65723,131.718079,0.26899
DMA/DCD,TFSI,2.5,27.8,3.2,11.2,31374.0,19869.0,4176748.0,13.6,16.7,87.12,156.95,280.15,0.1997962078679746,0.3995924157359493,0.200305688198038,130.98940364974786,143.47530021417475,209.7630622823716,0.26548,0.07327,0.66126,0.97053,0.26784,2.41741,3.65578,0.12077,0.8661,0.00601,1671.34851,227.65208,1.00255
MPL/DME,TFSI,2.0,27.3,20.0,11.2,13387.0,8071.0,4176748.0,13.3,10.2,99.13,90.12,280.15,0.2428669963181363,0.4857339926362727,0.1356995055227955,139.65543911138744,135.53372116858102,209.7630622823716,0.19594,0.37553,0.42853,0.65533,1.25601,1.43328,3.34462,0.63438,0.64922,0.11674,1209.01978,201.11455,0.55874
DMSO/DCD,BF4,2.0,29.8,3.2,7.3,679.0,19869.0,26255.0,19.3,16.7,78.14,156.95,86.81,0.2189065181604847,0.4378130363209694,0.1716402227592728,104.6290690568062,143.47530021417475,72.88470609916,0.3159147319,0.008726310037,0.6753589581,1.25476504,0.03465957,2.68242258,3.97184719,0.01806937,0.98642057,0.00384119,1574.49719,163.756302,0.78408
DMA/DCD,TFSI,1.0,27.8,3.2,11.2,31374.0,19869.0,4176748.0,13.6,16.7,87.12,156.95,280.15,0.2630166962998811,0.5260333925997622,0.1054749555501783,130.98940364974786,143.47530021417475,209.7630622823716,0.48138,0.03163,0.48699,1.7428,0.1145,1.7631,3.6204,0.32223,0.97713,0.03055,1560.77954,182.69444,0.40102
DEA/DCM,BF4,1.0,32.2,1.0,7.3,12703.0,6344.0,26255.0,13.6,20.4,115.17,84.93,86.81,0.2801073371315888,0.5602146742631776,0.0798389943026167,177.36010258286555,88.23001018449519,72.88470609916,0.5665733417,2.68e-06,0.4334239826,2.13870743,1.01e-05,1.63609373,3.77481126,0.44070109,0.99999857,0.02383391,1195.09229,144.255569,0.28503
DEA/DCD,BF4,1.0,32.2,3.2,7.3,12703.0,19869.0,26255.0,13.6,16.7,115.17,156.95,86.81,0.2591922532619345,0.518384506523869,0.1112116201070982,177.36010258286555,143.47530021417475,72.88470609916,0.4681527576,0.002751623812,0.5290956186,1.68582874,0.00990866,1.90528537,3.60102277,0.34672966,0.99788734,0.02290308,1434.44617,180.97406,0.4290699999999999
DMSO/DCM,TFSI,2.0,29.8,1.0,11.2,679.0,6344.0,4176748.0,19.3,20.4,78.14,84.93,280.15,0.250501002004008,0.501002004008016,0.1242484969939879,104.6290690568062,88.23001018449519,209.7630622823716,0.50206,0.01068,0.48727,2.00121,0.04256,1.94226,3.98603,0.00892,0.98948,0.04312,1481.88196,145.6123,0.496
DEA/DCD,BF4,1.5,32.2,3.2,7.3,12703.0,19869.0,26255.0,13.6,16.7,115.17,156.95,86.81,0.2332519284103181,0.4665038568206363,0.1501221073845227,177.36010258286555,143.47530021417475,72.88470609916,0.3915490381,0.007150860764,0.6013001012,1.43234778,0.02615897,2.19965006,3.65815681,0.19898224,0.99159524,0.01523195,1446.47949,187.299591,0.643605
MPL/DCD,TFSI,0.5,27.3,3.2,11.2,13387.0,19869.0,4176748.0,13.3,16.7,99.13,156.95,280.15,0.2929947876227282,0.5859895752454565,0.0605078185659077,139.65543911138744,143.47530021417475,209.7630622823716,0.61487,0.02693,0.3582,2.22114,0.09727,1.29396,3.61237,0.55573,0.99007,0.09203,1525.55737,170.95508,0.2065149999999999
MPL/DCM,PF6,2.0,27.3,1.0,-6.2,13387.0,6344.0,9886.0,13.3,20.4,99.13,84.93,144.964,0.2453409748868978,0.4906819497737956,0.1319885376696533,139.65543911138744,88.23001018449519,98.22421574221886,0.4802150534,1.05e-05,0.5197744302,1.91330378,4.19e-05,2.0709188,3.98426448,0.115453386,0.99998874,0.023296321,1384.9397,139.998901,0.53798
DMA/DCM,PF6,2.5,27.8,1.0,-6.2,31374.0,6344.0,9886.0,13.6,20.4,87.12,84.93,144.964,0.2333776750916007,0.4667553501832014,0.1499334873625989,130.98940364974786,88.23001018449519,98.22421574221886,0.3989603868,3.077751377e-05,0.6010088356,1.60348884,0.0001237,2.41555551,4.01916805,0.10934123,0.99996044,0.005427193,1379.62256,141.94072,0.6424500000000001
DMSO/DCD,PF6,2.5,29.8,3.2,-6.2,679.0,19869.0,9886.0,19.3,16.7,78.14,156.95,144.964,0.2016047740010483,0.4032095480020967,0.1975928389984274,104.6290690568062,143.47530021417475,98.22421574221886,0.2409698723,0.0423215865,0.7167085412,1.01446415,0.17817054,3.01728641,4.2099211,0.01248391,0.91286359,0.002447424,1679.82629,177.995941,0.9801
DMSO/DCM,BF4,0.5,29.8,1.0,7.3,679.0,6344.0,26255.0,19.3,20.4,78.14,84.93,86.81,0.3078817733990147,0.6157635467980295,0.0381773399014778,104.6290690568062,88.23001018449519,72.88470609916,0.8781467721,0.000145699326,0.1217075286,3.51320605,0.0005829,0.4869159,4.00070485,0.56745106,0.99996412,0.58706333,1270.67236,112.991302,0.124
DME/THF,TFSI,0.5,20.0,20.0,11.2,8071.0,8028.0,4176748.0,10.2,8.0,90.12,72.11,280.15,0.3091820896999078,0.6183641793998157,0.0362268654501382,135.53372116858102,108.8495765108916,209.7630622823716,0.29745,0.47697,0.22557,1.05663,1.69432,0.80129,3.55224,0.87625,0.90078,0.29855,958.45715,154.5923,0.11717
DMA/DCM,TFSI,1.5,27.8,1.0,11.2,31374.0,6344.0,4176748.0,13.6,20.4,87.12,84.93,280.15,0.2651858687754246,0.5303717375508493,0.1022211968368629,130.98940364974786,88.23001018449519,209.7630622823716,0.43165,0.00023,0.56812,1.64493,0.00088,2.16496,3.81077,0.37507,0.99983,0.00493,1368.62231,148.40842,0.38547
DMA/DME,TFSI,1.0,27.8,20.0,11.2,31374.0,8071.0,4176748.0,13.6,10.2,87.12,90.12,280.15,0.2829078399420605,0.565815679884121,0.0756382400869093,130.98940364974786,135.53372116858102,209.7630622823716,0.11725,0.54768,0.33507,0.37362,1.74521,1.06773,3.18656,0.90019,0.76678,0.18772,1042.9342,182.43706,0.26736
