formulation,Anion,molality,Solvent DN,Diluent DN,Anion DN,Solvent CID,Diluent CID,Anion CID,Solvent AN,Diluent AN,Solvent molar mass,Diluent molar mass,Anion molar mass,solvent molar ratio,diluent molar ratio,anion molar ratio,solvent volume,diluent volume,anion volume,Fractional CN solvent,Fractional CN diluent,Fractional CN anion,CN solvent,CN diluent,CN anion,CN total,Fraction Free Solvents,Fraction Free Diluents,Fraction Free Anions,Density [kg/m3],Volume [nm3],anion to solvent ratio
DMSO/DCM,PF6,0.5,29.8,1.0,-6.2,679.0,6344.0,9886.0,19.3,20.4,78.14,84.93,144.964,0.3078817733990147,0.6157635467980295,0.0381773399014778,104.6290690568062,88.23001018449519,98.22421574221886,0.984070166,0.000173124288,0.01575670968,3.93714948,0.00069265,0.06304075,4.00088288,0.515253066,0.99995736,0.937129973,1303.65845,113.117393,0.124
DME/DCD,TFSI,1.5,20.0,3.2,11.2,8071.0,19869.0,4176748.0,10.2,16.7,90.12,156.95,280.15,0.2374135221245661,0.4748270442491322,0.1438797168131508,135.53372116858102,143.47530021417475,209.7630622823716,0.36556,0.02229,0.61215,1.21167,0.07388,2.02903,3.3145800000000003,0.26924,0.9777,0.01649,1577.67188,202.33658,0.60603
DEA/DCM,TFSI,2.0,32.2,1.0,11.2,12703.0,6344.0,4176748.0,13.6,20.4,115.17,84.93,280.15,0.2415388925924852,0.4830777851849704,0.1376916611112721,177.36010258286555,88.23001018449519,209.7630622823716,0.4307,0.00124,0.56806,1.57246,0.00454,2.07394,3.65094,0.15294,0.99872,0.0075,1386.32153,178.679,0.5700600000000001
DEA/DCM,BF4,1.0,32.2,1.0,7.3,12703.0,6344.0,26255.0,13.6,20.4,115.17,84.93,86.81,0.2801073371315888,0.5602146742631776,0.0798389943026167,177.36010258286555,88.23001018449519,72.88470609916,0.5665733417,2.68e-06,0.4334239826,2.13870743,1.01e-05,1.63609373,3.77481126,0.44070109,0.99999857,0.02383391,1195.09229,144.255569,0.28503
DMSO/DCM,PF6,1.5,29.8,1.0,-6.2,679.0,6344.0,9886.0,19.3,20.4,78.14,84.93,144.964,0.2670940170940171,0.5341880341880342,0.0993589743589743,104.6290690568062,88.23001018449519,98.22421574221886,0.6626667314,0.000126424456,0.3372068441,2.64622297,0.00050485,1.34656601,3.99329383,0.02377719,0.99990676,0.167541623,1370.3136,122.709267,0.372
MPL/DCD,PF6,2.0,27.3,3.2,-6.2,13387.0,19869.0,9886.0,13.3,16.7,99.13,156.95,144.964,0.2149557621041589,0.4299115242083179,0.1775663568437615,139.65543911138744,143.47530021417475,98.22421574221886,0.3510453655,0.04961967454,0.59933496,1.41151124,0.19951475,2.40985387,4.02087986,0.069711229,0.91763745,0.001048311,1608.93591,185.061661,0.8260599999999999
DME/DCD,TFSI,0.2,20.0,3.2,11.2,8071.0,19869.0,4176748.0,10.2,16.7,90.12,156.95,280.15,0.3162947462177474,0.6325894924354948,0.0255578806733788,135.53372116858102,143.47530021417475,209.7630622823716,0.7481,0.00104,0.25086,2.30778,0.00321,0.77386,3.0848500000000003,0.81981,0.99987,0.33841,1433.30261,164.51379,0.080804
MPL/DME,TFSI,2.0,27.3,20.0,11.2,13387.0,8071.0,4176748.0,13.3,10.2,99.13,90.12,280.15,0.2428669963181363,0.4857339926362727,0.1356995055227955,139.65543911138744,135.53372116858102,209.7630622823716,0.19594,0.37553,0.42853,0.65533,1.25601,1.43328,3.34462,0.63438,0.64922,0.11674,1209.01978,201.11455,0.55874
DMSO/DCD,BF4,1.5,29.8,3.2,7.3,679.0,19869.0,26255.0,19.3,16.7,78.14,156.95,86.81,0.2394567205923201,0.4789134411846402,0.1408149191115197,104.6290690568062,143.47530021417475,72.88470609916,0.4093995995,0.006982478481,0.5836179221,1.62820115,0.02776964,2.32107548,3.97704627,0.04849382,0.99187075,0.02082563,1571.09363,157.501968,0.5880599999999999
MPL/DCD,TFSI,1.0,27.3,3.2,11.2,13387.0,19869.0,4176748.0,13.3,16.7,99.13,156.95,280.15,0.2613654778022299,0.5227309556044599,0.107951783296655,139.65543911138744,143.47530021417475,209.7630622823716,0.51122,0.03277,0.45602,1.83346,0.11752,1.63549,3.5864700000000003,0.27719,0.97583,0.04323,1587.26721,185.03133,0.4130299999999999
DMSO/DCM,PF6,1.0,29.8,1.0,-6.2,679.0,6344.0,9886.0,19.3,20.4,78.14,84.93,144.964,0.2860411899313501,0.5720823798627002,0.0709382151029748,104.6290690568062,88.23001018449519,98.22421574221886,0.8872243181,0.0001572264505,0.1126184555,3.54734093,0.00062863,0.45027627,3.99824583,0.126664838,0.9999226,0.602135137,1333.74902,118.319351,0.248
DEA/DCD,BF4,1.0,32.2,3.2,7.3,12703.0,19869.0,26255.0,13.6,16.7,115.17,156.95,86.81,0.2591922532619345,0.518384506523869,0.1112116201070982,177.36010258286555,143.47530021417475,72.88470609916,0.4681527576,0.002751623812,0.5290956186,1.68582874,0.00990866,1.90528537,3.60102277,0.34672966,0.99788734,0.02290308,1434.44617,180.97406,0.4290699999999999
DMSO/DCD,TFSI,2.0,29.8,3.2,11.2,679.0,19869.0,4176748.0,19.3,16.7,78.14,156.95,280.15,0.2189065181604847,0.4378130363209694,0.1716402227592728,104.6290690568062,143.47530021417475,209.7630622823716,0.3343,0.05133,0.61436,1.25271,0.19236,2.30216,3.74723,0.01887,0.92468,0.00652,1698.84412,200.83699,0.78408
DEA/DCD,BF4,1.5,32.2,3.2,7.3,12703.0,19869.0,26255.0,13.6,16.7,115.17,156.95,86.81,0.2332519284103181,0.4665038568206363,0.1501221073845227,177.36010258286555,143.47530021417475,72.88470609916,0.3915490381,0.007150860764,0.6013001012,1.43234778,0.02615897,2.19965006,3.65815681,0.19898224,0.99159524,0.01523195,1446.47949,187.299591,0.643605
DME/DCM,TFSI,1.0,20.0,1.0,11.2,8071.0,6344.0,4176748.0,10.2,20.4,90.12,84.93,280.15,0.2840941374333799,0.5681882748667598,0.0738587938499301,135.53372116858102,88.23001018449519,209.7630622823716,0.50115,1e-05,0.49884,1.68643,2e-05,1.67866,3.36511,0.56447,1.0,0.0746,1276.87183,144.69185,0.25998
MPL/DCM,PF6,2.5,27.3,1.0,-6.2,13387.0,6344.0,9886.0,13.3,20.4,99.13,84.93,144.964,0.2301522457105375,0.460304491421075,0.1547716314341937,139.65543911138744,88.23001018449519,98.22421574221886,0.4035953667,1.38e-05,0.5963908615,1.61769243,5.52e-05,2.39045604,4.00820367,0.082882342,0.99998153,0.005934008,1415.59314,144.807587,0.672475
DMA/DCD,PF6,1.0,27.8,3.2,-6.2,31374.0,19869.0,9886.0,13.6,16.7,87.12,156.95,144.964,0.2630166962998811,0.5260333925997622,0.1054749555501783,130.98940364974786,143.47530021417475,98.22421574221886,0.5201341197,0.01197472762,0.4678911527,2.06284498,0.04749161,1.85565007,3.96598666,0.248090899,0.99051609,0.026395297,1517.43884,168.239105,0.40102
DMA/DCD,PF6,2.5,27.8,3.2,-6.2,31374.0,19869.0,9886.0,13.6,16.7,87.12,156.95,144.964,0.1997962078679746,0.3995924157359493,0.200305688198038,130.98940364974786,143.47530021417475,98.22421574221886,0.2915178452,0.05459803761,0.6538841172,1.18991092,0.22285703,2.66900934,4.08177729,0.044912019,0.88863057,0.002543416,1635.85791,186.899307,1.00255
DMSO/DCM,BF4,1.0,29.8,1.0,7.3,679.0,6344.0,26255.0,19.3,20.4,78.14,84.93,86.81,0.2860411899313501,0.5720823798627002,0.0709382151029748,104.6290690568062,88.23001018449519,72.88470609916,0.7635027089,0.0001450301209,0.236352261,3.04937558,0.00057924,0.94397414,3.99392896,0.2491494,0.99992868,0.28767708,1294.54517,115.890366,0.248
DME/THF,TFSI,1.5,20.0,20.0,11.2,8071.0,8028.0,4176748.0,10.2,8.0,90.12,72.11,280.15,0.270049851202532,0.540099702405064,0.094925223196202,135.53372116858102,108.8495765108916,209.7630622823716,0.20479,0.52269,0.27252,0.75858,1.93612,1.00946,3.70416,0.73347,0.65987,0.235,1094.13538,169.40572,0.35151
MPL/DCM,TFSI,1.5,27.3,1.0,11.2,13387.0,6344.0,4176748.0,13.3,20.4,99.13,84.93,280.15,0.2626760914848291,0.5253521829696582,0.1059858627727562,139.65543911138744,88.23001018449519,209.7630622823716,0.47143,0.00033,0.52824,1.78588,0.00124,2.00107,3.78819,0.29341,0.99975,0.0072,1403.7334,151.46527,0.403485
DEA/DME,TFSI,1.0,32.2,20.0,11.2,12703.0,8071.0,4176748.0,13.6,10.2,115.17,90.12,280.15,0.2784879219788237,0.5569758439576475,0.0822681170317643,177.36010258286555,135.53372116858102,209.7630622823716,0.4815,0.31602,0.20248,1.62347,1.06553,0.68269,3.37169,0.52226,0.84321,0.43415,1055.42358,199.04131,0.29541
MPL/DCD,PF6,0.5,27.3,3.2,-6.2,13387.0,19869.0,9886.0,13.3,16.7,99.13,156.95,144.964,0.2929947876227282,0.5859895752454565,0.0605078185659077,139.65543911138744,143.47530021417475,98.22421574221886,0.6634486268,0.01116106109,0.3253903121,2.61327007,0.04396251,1.28168592,3.9389185,0.499398003,0.99551141,0.140931189,1507.8291,162.842392,0.2065149999999999
DMSO/DCD,TFSI,0.5,29.8,3.2,11.2,679.0,19869.0,4176748.0,19.3,16.7,78.14,156.95,280.15,0.2948078442471197,0.5896156884942394,0.0577882336293204,104.6290690568062,143.47530021417475,209.7630622823716,0.89964,0.018,0.08236,3.64221,0.07288,0.33342,4.04851,0.28908,0.9929,0.71036,1559.51599,158.86807,0.19602
DME/DCM,TFSI,0.5,20.0,1.0,11.2,8071.0,6344.0,4176748.0,10.2,20.4,90.12,84.93,280.15,0.3067503481616451,0.6135006963232903,0.0398744777575322,135.53372116858102,88.23001018449519,209.7630622823716,0.67979,0.00044,0.31977,2.10691,0.00137,0.99106,3.09934,0.72794,0.99991,0.20802,1195.84644,137.35442,0.12999
DMSO/DCD,TFSI,0.2,29.8,3.2,11.2,679.0,19869.0,4176748.0,19.3,16.7,78.14,156.95,280.15,0.3167748769646378,0.6335497539292756,0.0248376845530433,104.6290690568062,143.47530021417475,209.7630622823716,0.97913,0.00019,0.02068,3.91745,0.00076,0.08274,4.0009500000000005,0.69414,0.99997,0.91726,1542.03748,148.61244,0.078408
THF/DME,TFSI,1.5,20.0,20.0,11.2,8028.0,8071.0,4176748.0,8.0,10.2,72.11,90.12,280.15,0.2661662740714124,0.5323325481428248,0.1007505888928814,108.8495765108916,135.53372116858102,209.7630622823716,0.23648,0.46677,0.29675,0.79861,1.57632,1.00213,3.37706,0.69782,0.70178,0.26934,1099.29407,181.57571,0.378525
DMSO/DCD,PF6,0.5,29.8,3.2,-6.2,679.0,19869.0,9886.0,19.3,16.7,78.14,156.95,144.964,0.2948078442471197,0.5896156884942394,0.0577882336293204,104.6290690568062,143.47530021417475,98.22421574221886,0.8807814723,0.001241094228,0.1179774335,3.52148162,0.00496206,0.47168949,3.99813317,0.312692173,0.99951587,0.595884052,1549.82935,150.447144,0.19602
DME/DCM,TFSI,1.5,20.0,1.0,11.2,8071.0,6344.0,4176748.0,10.2,20.4,90.12,84.93,280.15,0.2645544638274681,0.5291089276549363,0.1031683042587977,135.53372116858102,88.23001018449519,209.7630622823716,0.43283,0.00082,0.56636,1.50416,0.00285,1.9682,3.47521,0.41732,0.99945,0.04864,1351.53113,151.8656,0.38997
MPL/DME,TFSI,1.0,27.3,20.0,11.2,13387.0,8071.0,4176748.0,13.3,10.2,99.13,90.12,280.15,0.2809983308699146,0.5619966617398293,0.078502503695128,139.65543911138744,135.53372116858102,209.7630622823716,0.27181,0.42114,0.30706,0.8816,1.36594,0.99592,3.24346,0.75694,0.80926,0.21789,1081.49329,183.83679,0.27937
DMA/DCM,BF4,2.5,27.8,1.0,7.3,31374.0,6344.0,26255.0,13.6,20.4,87.12,84.93,86.81,0.2333776750916007,0.4667553501832014,0.1499334873625989,130.98940364974786,88.23001018449519,72.88470609916,0.3128068722,4.13e-06,0.6871889951,1.24131376,1.64e-05,2.72697703,3.96830719,0.263408,0.99999475,0.00409158,1298.55212,135.233521,0.6424500000000001
DME/DCD,BF4,0.5,20.0,3.2,7.3,8071.0,19869.0,26255.0,10.2,16.7,90.12,156.95,86.81,0.2937703068724625,0.587540613744925,0.0593445396913061,135.53372116858102,143.47530021417475,72.88470609916,0.5956621305,0.001782516403,0.4025553531,1.80541943,0.00540271,1.22012332,3.03094546,0.63675555,0.99945648,0.20421442,1428.04675,163.821442,0.2020099999999999
DMA/DCM,TFSI,2.0,27.8,1.0,11.2,31374.0,6344.0,4176748.0,13.6,20.4,87.12,84.93,280.15,0.2482670956722079,0.4965341913444159,0.127599356491688,130.98940364974786,88.23001018449519,209.7630622823716,0.39937,0.00052,0.60011,1.49326,0.00194,2.24384,3.73904,0.24919,0.9995,0.0015,1429.77612,156.39735,0.5139600000000001
DMSO/DCM,TFSI,0.2,29.8,1.0,11.2,679.0,6344.0,4176748.0,19.3,20.4,78.14,84.93,280.15,0.3226639132679401,0.6453278265358803,0.0160041300980898,104.6290690568062,88.23001018449519,209.7630622823716,0.99894,0.00017,0.00089,3.99682,0.00069,0.00356,4.00107,0.80796,0.99998,0.99644,1284.73535,112.67051,0.0496
DMA/DCD,PF6,0.5,27.8,3.2,-6.2,31374.0,19869.0,9886.0,13.6,16.7,87.12,156.95,144.964,0.2940294382273553,0.5880588764547107,0.058955842658967,130.98940364974786,143.47530021417475,98.22421574221886,0.6696178606,0.005273378319,0.3251087611,2.65078413,0.02087547,1.28699247,3.95865207,0.48356366,0.99793126,0.117610029,1482.03113,160.855194,0.20051
MPL/DCD,PF6,2.5,27.3,3.2,-6.2,13387.0,19869.0,9886.0,13.3,16.7,99.13,156.95,144.964,0.1974275194219322,0.3948550388438644,0.2038587208671016,139.65543911138744,143.47530021417475,98.22421574221886,0.3109950164,0.04523250711,0.6437724765,1.25053543,0.18188347,2.58865978,4.0210786800000005,0.043209101,0.90633614,0.003502157,1645.6947,191.350616,1.032575
DEA/DCD,TFSI,0.2,32.2,3.2,11.2,12703.0,19869.0,4176748.0,13.6,16.7,115.17,156.95,280.15,0.3152954886260305,0.630590977252061,0.0270567670609541,177.36010258286555,143.47530021417475,209.7630622823716,0.81188,0.00249,0.18563,2.95788,0.00907,0.67629,3.64324,0.75322,0.99962,0.41562,1405.89575,178.25281,0.085814
DME/MPL,TFSI,1.0,20.0,27.3,11.2,8071.0,13387.0,4176748.0,10.2,13.3,90.12,99.13,280.15,0.2795826390364463,0.5591652780728927,0.0806260414453304,135.53372116858102,139.65543911138744,209.7630622823716,0.20975,0.47005,0.3202,0.71629,1.60519,1.09345,3.41493,0.7935,0.76927,0.205,1133.30127,181.09097,0.28838
DME/DCD,TFSI,2.0,20.0,3.2,11.2,8071.0,19869.0,4176748.0,10.2,16.7,90.12,156.95,280.15,0.2166340271399109,0.4332680542798218,0.1750489592901336,135.53372116858102,143.47530021417475,209.7630622823716,0.30351,0.04286,0.65364,1.04217,0.14716,2.24445,3.43378,0.15816,0.94103,0.00199,1621.09314,216.91316,0.8080399999999999
DEA/DCM,PF6,2.0,32.2,1.0,-6.2,12703.0,6344.0,9886.0,13.6,20.4,115.17,84.93,144.964,0.2415388925924852,0.4830777851849704,0.1376916611112721,177.36010258286555,88.23001018449519,98.22421574221886,0.4994591161,1.19e-05,0.5005289373,1.88970895,4.52e-05,1.89375663,3.78351078,0.087715134,0.99998716,0.101909455,1315.6344,156.033905,0.5700600000000001
