formulation,Anion,molality,Solvent DN,Diluent DN,Anion DN,Solvent CID,Diluent CID,Anion CID,Solvent AN,Diluent AN,Solvent molar mass,Diluent molar mass,Anion molar mass,solvent molar ratio,diluent molar ratio,anion molar ratio,solvent volume,diluent volume,anion volume,Fractional CN solvent,Fractional CN diluent,Fractional CN anion,CN solvent,CN diluent,CN anion,CN total,Fraction Free Solvents,Fraction Free Diluents,Fraction Free Anions,Density [kg/m3],Volume [nm3],anion to solvent ratio
MPL/DCM,PF6,0.5,27.3,1.0,-6.2,13387.0,6344.0,9886.0,13.3,20.4,99.13,84.93,144.964,0.3059048819360108,0.6118097638720216,0.0411426770959837,139.65543911138744,88.23001018449519,98.22421574221886,0.7448437455,0.0,0.2551562545,2.950951,0.0,1.010888,3.961839,0.610084661,1.0,0.198665067,1257.45654,127.111771,0.134495
DEA/DCM,TFSI,1.5,32.2,1.0,11.2,12703.0,6344.0,4176748.0,13.6,20.4,115.17,84.93,280.15,0.2593973162753658,0.5187946325507317,0.1109040255869512,177.36010258286555,88.23001018449519,209.7630622823716,0.51509,0.00058,0.48433,1.90032,0.00213,1.78681,3.68926,0.22942,0.99955,0.04256,1341.24683,167.97923,0.427545
MPL/DCD,TFSI,2.0,27.3,3.2,11.2,13387.0,19869.0,4176748.0,13.3,16.7,99.13,156.95,280.15,0.2149557621041589,0.4299115242083179,0.1775663568437615,139.65543911138744,143.47530021417475,209.7630622823716,0.31493,0.07311,0.61195,1.14883,0.2667,2.2323,3.64783,0.14486,0.88993,0.00403,1668.57031,215.44127,0.8260599999999999
MPL/DCM,BF4,1.0,27.3,1.0,7.3,13387.0,6344.0,26255.0,13.3,20.4,99.13,84.93,86.81,0.282647160243981,0.565294320487962,0.0760292596340284,139.65543911138744,88.23001018449519,72.88470609916,0.4476635029,1.14e-06,0.5523353535,1.75765481,4.49e-06,2.1686264,3.9262857,0.53999928,0.9999994,0.00202518,1254.02759,129.774612,0.26899
DMA/DCD,PF6,2.5,27.8,3.2,-6.2,31374.0,19869.0,9886.0,13.6,16.7,87.12,156.95,144.964,0.1997962078679746,0.3995924157359493,0.200305688198038,130.98940364974786,143.47530021417475,98.22421574221886,0.2915178452,0.05459803761,0.6538841172,1.18991092,0.22285703,2.66900934,4.08177729,0.044912019,0.88863057,0.002543416,1635.85791,186.899307,1.00255
MPL/DCD,PF6,1.5,27.3,3.2,-6.2,13387.0,19869.0,9886.0,13.3,16.7,99.13,156.95,144.964,0.2358996860175179,0.4717993720350358,0.1461504709737231,139.65543911138744,143.47530021417475,98.22421574221886,0.4197503871,0.03531052435,0.5449390885,1.65960027,0.13961001,2.15456873,3.95377901,0.140061165,0.95684202,0.021754738,1587.19568,176.630844,0.619545
DME/DCD,TFSI,2.5,20.0,3.2,11.2,8071.0,19869.0,4176748.0,10.2,16.7,90.12,156.95,280.15,0.1991992191390609,0.3983984382781219,0.2012011712914085,135.53372116858102,143.47530021417475,209.7630622823716,0.25681,0.03377,0.70942,0.87194,0.115,2.4087,3.39564,0.12031,0.94218,0.00096,1660.74365,230.96605,1.01005
MPL/DME,TFSI,2.0,27.3,20.0,11.2,13387.0,8071.0,4176748.0,13.3,10.2,99.13,90.12,280.15,0.2428669963181363,0.4857339926362727,0.1356995055227955,139.65543911138744,135.53372116858102,209.7630622823716,0.19594,0.37553,0.42853,0.65533,1.25601,1.43328,3.34462,0.63438,0.64922,0.11674,1209.01978,201.11455,0.55874
DMSO/DCD,BF4,2.0,29.8,3.2,7.3,679.0,19869.0,26255.0,19.3,16.7,78.14,156.95,86.81,0.2189065181604847,0.4378130363209694,0.1716402227592728,104.6290690568062,143.47530021417475,72.88470609916,0.3159147319,0.008726310037,0.6753589581,1.25476504,0.03465957,2.68242258,3.97184719,0.01806937,0.98642057,0.00384119,1574.49719,163.756302,0.78408
DME/DCD,TFSI,1.5,20.0,3.2,11.2,8071.0,19869.0,4176748.0,10.2,16.7,90.12,156.95,280.15,0.2374135221245661,0.4748270442491322,0.1438797168131508,135.53372116858102,143.47530021417475,209.7630622823716,0.36556,0.02229,0.61215,1.21167,0.07388,2.02903,3.3145800000000003,0.26924,0.9777,0.01649,1577.67188,202.33658,0.60603
