formulation,Anion,molality,Solvent DN,Diluent DN,Anion DN,Solvent CID,Diluent CID,Anion CID,Solvent AN,Diluent AN,Solvent molar mass,Diluent molar mass,Anion molar mass,solvent molar ratio,diluent molar ratio,anion molar ratio,solvent volume,diluent volume,anion volume,Fractional CN solvent,Fractional CN diluent,Fractional CN anion,CN solvent,CN diluent,CN anion,CN total,Fraction Free Solvents,Fraction Free Diluents,Fraction Free Anions,Density [kg/m3],Volume [nm3],anion to solvent ratio
MPL/DCM,PF6,0.5,27.3,1.0,-6.2,13387.0,6344.0,9886.0,13.3,20.4,99.13,84.93,144.964,0.3059048819360108,0.6118097638720216,0.0411426770959837,139.65543911138744,88.23001018449519,98.22421574221886,0.7448437455,0.0,0.2551562545,2.950951,0.0,1.010888,3.961839,0.610084661,1.0,0.198665067,1257.45654,127.111771,0.134495
DEA/DCD,TFSI,1.0,32.2,3.2,11.2,12703.0,19869.0,4176748.0,13.6,16.7,115.17,156.95,280.15,0.2591922532619345,0.518384506523869,0.1112116201070982,177.36010258286555,143.47530021417475,209.7630622823716,0.49388,0.0199,0.48622,1.68087,0.06772,1.65482,3.40341,0.3168,0.98556,0.0547,1504.20215,202.73126,0.4290699999999999
DMA/DCD,TFSI,1.5,27.8,3.2,11.2,31374.0,19869.0,4176748.0,13.6,16.7,87.12,156.95,280.15,0.2379218950003093,0.4758437900006186,0.143117157499536,130.98940364974786,143.47530021417475,209.7630622823716,0.39422,0.04517,0.56062,1.43213,0.16409,2.03664,3.63286,0.16859,0.9508,0.01026,1595.33301,198.75769,0.60153
DMA/DCD,BF4,1.5,27.8,3.2,7.3,31374.0,19869.0,26255.0,13.6,16.7,87.12,156.95,86.81,0.2379218950003093,0.4758437900006186,0.143117157499536,130.98940364974786,143.47530021417475,72.88470609916,0.3684723163,0.003438574782,0.628089109,1.43561022,0.01339708,2.44710689,3.896114190000001,0.20633698,0.99597708,0.00290185,1498.53699,168.971298,0.60153
DMSO/DCM,PF6,1.5,29.8,1.0,-6.2,679.0,6344.0,9886.0,19.3,20.4,78.14,84.93,144.964,0.2670940170940171,0.5341880341880342,0.0993589743589743,104.6290690568062,88.23001018449519,98.22421574221886,0.6626667314,0.000126424456,0.3372068441,2.64622297,0.00050485,1.34656601,3.99329383,0.02377719,0.99990676,0.167541623,1370.3136,122.709267,0.372
MPL/DCM,PF6,1.5,27.3,1.0,-6.2,13387.0,6344.0,9886.0,13.3,20.4,99.13,84.93,144.964,0.2626760914848291,0.5253521829696582,0.1059858627727562,139.65543911138744,88.23001018449519,98.22421574221886,0.5246706088,2.91e-06,0.4753264799,2.0905395,1.16e-05,1.89392881,3.98447991,0.24307193,0.99999767,0.033685256,1345.49377,135.667068,0.403485
DEA/DCM,TFSI,0.2,32.2,1.0,11.2,12703.0,6344.0,4176748.0,13.6,20.4,115.17,84.93,280.15,0.3211291414419726,0.6422582828839453,0.018306287837041,177.36010258286555,88.23001018449519,209.7630622823716,0.88858,0.0,0.11142,3.42633,0.0,0.42964,3.85597,0.81479,1.0,0.57036,1160.58826,143.19521,0.057006
THF/DME,TFSI,0.5,20.0,20.0,11.2,8028.0,8071.0,4176748.0,8.0,10.2,72.11,90.12,280.15,0.3074699832428859,0.6149399664857718,0.0387950251356711,108.8495765108916,135.53372116858102,209.7630622823716,0.25467,0.50122,0.24411,0.84173,1.65664,0.80683,3.3052,0.89384,0.89553,0.35693,959.10449,166.36583,0.126175
DMSO/DCM,BF4,2.0,29.8,1.0,7.3,679.0,6344.0,26255.0,19.3,20.4,78.14,84.93,86.81,0.250501002004008,0.501002004008016,0.1242484969939879,104.6290690568062,88.23001018449519,72.88470609916,0.4928553236,8.689740329e-05,0.507057779,1.96955183,0.00034726,2.02630778,3.99620687,0.02428167,0.99991397,0.01997233,1341.11316,121.602989,0.496
DMA/DCD,TFSI,1.0,27.8,3.2,11.2,31374.0,19869.0,4176748.0,13.6,16.7,87.12,156.95,280.15,0.2630166962998811,0.5260333925997622,0.1054749555501783,130.98940364974786,143.47530021417475,209.7630622823716,0.48138,0.03163,0.48699,1.7428,0.1145,1.7631,3.6204,0.32223,0.97713,0.03055,1560.77954,182.69444,0.40102
DEA/DCD,BF4,0.5,32.2,3.2,7.3,12703.0,19869.0,26255.0,13.6,16.7,115.17,156.95,86.81,0.2916242596389108,0.5832485192778216,0.0625636105416337,177.36010258286555,143.47530021417475,72.88470609916,0.6033948179,0.001535559636,0.3950696225,2.22336559,0.00565817,1.45573707,3.68476083,0.55093897,0.9993968,0.08435142,1411.95483,175.945709,0.2145349999999999
